ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,latitude,longitude
CYAX,medium_airport,Lac Du Bonnet Airport,850.0,,CA,CA-MB,Lac Du Bonnet,CYAX,,,50.294399,-96.010002
CYAY,medium_airport,St. Anthony Airport,108.0,,CA,CA-NL,St. Anthony,CYAY,YAY,,51.391909,-56.08321
CYAZ,medium_airport,Tofino / Long Beach Airport,80.0,,CA,CA-BC,Tofino,CYAZ,YAZ,,49.079833,-125.775583
CYBB,medium_airport,Kugaaruk Airport,56.0,,CA,CA-NU,Kugaaruk,CYBB,YBB,,68.534401,-89.808098
CYBC,medium_airport,Baie-Comeau Airport,71.0,,CA,CA-QC,Baie-Comeau,CYBC,YBC,YBC,49.1325,-68.204399
CYBD,medium_airport,Bella Coola Airport,117.0,,CA,CA-BC,Bella Coola,CYBD,QBC,,52.387501,-126.596001
CYBE,medium_airport,Uranium City Airport,1044.0,,CA,CA-SK,Uranium City,CYBE,YBE,,59.5614013671875,-108.48100280761719
CYBF,medium_airport,Bonnyville Airport,1836.0,,CA,CA-AB,Bonnyville,CYBF,YBY,,54.304199,-110.744003
CYBG,medium_airport,CFB Bagotville,522.0,,CA,CA-QC,Bagotville,CYBG,YBG,,48.33060073852539,-70.99639892578125
CYBK,medium_airport,Baker Lake Airport,59.0,,CA,CA-NU,Baker Lake,CYBK,YBK,,64.29889678960001,-96.077796936
CYBL,medium_airport,Campbell River Airport,346.0,,CA,CA-BC,Campbell River,CYBL,YBL,YBL,49.950802,-125.271004
CYBQ,medium_airport,Tadoule Lake Airport,923.0,,CA,CA-MB,Tadoule Lake,CYBQ,XTL,,58.7061,-98.512199
CYBR,medium_airport,Brandon Municipal Airport,1343.0,,CA,CA-MB,Brandon,CYBR,YBR,,49.91,-99.951897
CYBT,medium_airport,Brochet Airport,1136.0,,CA,CA-MB,Brochet,CYBT,YBT,,57.8894,-101.679001
CYBU,medium_airport,Nipawin Airport,1220.0,,CA,CA-SK,Nipawin,CYBU,,,53.33250045776367,-104.00800323486328
